년월,시도,시군구,충전요금,고객호수,판매량,판매수입
2025-04,경기도,가평군,자가용,295,152408,23440369
2025-04,경기도,가평군,사업자용,290,530087,89439684
2025-04,경기도,과천시,자가용,89,165788,24726045
2025-04,경기도,과천시,사업자용,157,517983,78098623
2025-04,경기도,광명시,자가용,82,736420,87520128
2025-04,경기도,광명시,사업자용,374,1153169,150741423
2025-04,경기도,광주시,자가용,871,629735,85075865
2025-04,경기도,광주시,사업자용,771,1811945,259418981
2025-04,경기도,구리시,자가용,111,115440,18525132
2025-04,경기도,구리시,사업자용,415,729279,109027357
2025-04,경기도,군포시,자가용,78,1013199,116977971
2025-04,경기도,군포시,사업자용,456,840031,123307309
2025-04,경기도,김포시,자가용,558,817104,115075458
2025-04,경기도,김포시,사업자용,1407,3449701,479168111
2025-04,경기도,시흥시,자가용,178,127645,20079443
2025-04,경기도,시흥시,사업자용,1402,2778175,392464402
2025-04,경기도,안성시,자가용,395,267335,41857452
2025-04,경기도,안성시,사업자용,502,1376635,203676310
2025-04,경기도,양주시,자가용,378,621564,80297423
2025-04,경기도,양주시,사업자용,929,1835025,259367386
2025-04,경기도,양평군,자가용,1060,621010,87984440
2025-04,경기도,양평군,사업자용,219,466070,79034493
2025-04,경기도,여주시,자가용,542,293604,43939512
2025-04,경기도,여주시,사업자용,284,749774,120598612
2025-04,경기도,연천군,자가용,157,71111,10357681
2025-04,경기도,연천군,사업자용,101,225166,40965005
2025-04,경기도,오산시,자가용,127,122261,19030868
2025-04,경기도,오산시,사업자용,590,1214472,170459003
2025-04,경기도,의왕시,자가용,110,234981,36090728
2025-04,경기도,의왕시,사업자용,426,782249,118335989
2025-04,경기도,이천시,자가용,512,291461,45060563
2025-04,경기도,이천시,사업자용,541,1177582,180791880
2025-04,경기도,파주시,자가용,771,969713,129671440
2025-04,경기도,파주시,사업자용,1279,3659717,493594355
2025-04,경기도,평택시,자가용,628,1163452,163937299
2025-04,경기도,평택시,사업자용,1441,3159837,447418652
2025-04,경기도,포천시,자가용,444,574283,71438373
2025-04,경기도,포천시,사업자용,353,770512,124343609
2025-04,경기도,하남시,자가용,256,414225,58093989
2025-04,경기도,하남시,사업자용,810,2155201,293059131
2025-04,경기도,화성시,자가용,856,1282999,181110827
2025-04,경기도,화성시,사업자용,2699,6039800,827553433
2025-04,경기도,남양주시,자가용,725,589653,83092952
2025-04,경기도,남양주시,사업자용,1831,3896173,507131923
2025-04,경기도,동두천시,자가용,117,113739,15108371
2025-04,경기도,동두천시,사업자용,190,259730,46267439
2025-04,경기도,의정부시,자가용,189,355730,48094086
2025-04,경기도,의정부시,사업자용,959,1928260,272239953
2025-04,경기도,고양시 덕양구,자가용,313,380617,55076233
2025-04,경기도,고양시 덕양구,사업자용,739,2158022,301146878
2025-04,경기도,부천시 소사구,자가용,96,389276,48504360
2025-04,경기도,부천시 소사구,사업자용,333,805080,110309700
2025-04,경기도,부천시 오정구,자가용,99,843385,102107103
2025-04,경기도,부천시 오정구,사업자용,120,1741396,208051384
