충전소ID,충전소명,충전기ID,충전기명,충전기용량(kw)
10,강북성북지사(공용),10263,급속04,50
10,강북성북지사(공용),11315,급속05,100
10,강북성북지사(공용),11316,급속06,100
10,강북성북지사(공용),1385,급속02,50
10,강북성북지사(공용),1386,급속03,50
10,강북성북지사(공용),317,완속06,7
10,강북성북지사(공용),318,완속07,7
10,강북성북지사(공용),40,급속01,50
100,순천지사,274,급속01,50
100,순천지사,275,완속05,7
100,순천지사,276,완속04,7
100,순천지사,985,완속03,7
100,순천지사,986,완속02,7
100,순천지사,987,완속01,7
1000,학여울청구 아파트,3068,급속01,50
1000,학여울청구 아파트,3069,완속01,7
1000,학여울청구 아파트,3070,완속02,7
1000,학여울청구 아파트,3071,완속03,7
1000,학여울청구 아파트,3072,완속04,7
1002,돈의문센트레빌 아파트,3075,급속01,50
1002,돈의문센트레빌 아파트,3076,완속01,7
1003,e편한세상마포리버파크,3077,급속01,50
1003,e편한세상마포리버파크,3078,완속01,7
1003,e편한세상마포리버파크,3079,완속02,7
1003,e편한세상마포리버파크,3080,완속03,7
1004,쌍용황금,3081,급속01,50
1006,한남동현대하이페리온,3084,완속01,7
1006,한남동현대하이페리온,3085,완속02,7
1007,광화문스페이스본 아파트,3086,급속01,50
1007,광화문스페이스본 아파트,3087,완속01,7
1007,광화문스페이스본 아파트,3088,완속02,7
1007,광화문스페이스본 아파트,3089,완속03,7
1008,남산센트럴자이,3090,완속01,7
1008,남산센트럴자이,3091,완속02,7
1009,덕수궁 롯데캐슬,3092,완속01,7
1009,덕수궁 롯데캐슬,3093,완속02,7
1011,인왕산2차아이파크,3096,완속01,7
1011,인왕산2차아이파크,3097,완속02,7
1012,창신두산 아파트,3098,급속01,50
1012,창신두산 아파트,3099,완속01,7
1012,창신두산 아파트,3100,완속02,7
1013,창신쌍용2단지 아파트,3101,급속01,50
1013,창신쌍용2단지 아파트,3102,완속01,7
1015,효성주얼리시티,3105,완속01,7
1015,효성주얼리시티,3106,완속02,7
1016,래미안미아1차 아파트,3107,급속01,50
1016,래미안미아1차 아파트,3108,완속01,7
1017,보문하우스토리,3109,완속01,7
1018,석관두산 아파트,3110,급속01,50
1018,석관두산 아파트,3111,급속02,50
1019,정릉e편한세상 아파트,3114,급속01,50
1019,정릉e편한세상 아파트,3115,완속01,7
1019,정릉e편한세상 아파트,3116,완속02,7
102,서초지사,106,완속05,7
102,서초지사,107,완속02,7
102,서초지사,10856,완속01,7
102,서초지사,10865,완속04,7
102,서초지사,109,완속06,7
102,서초지사,12053,급속05,50
102,서초지사,12054,급속06,50
102,서초지사,12055,급속07,50
102,서초지사,12056,급속08,50
102,서초지사,311,완속07,7
102,서초지사,312,완속03,7
102,서초지사,345,급속02,50
102,서초지사,538,급속01,50
1020,부평금호어울림,3117,완속01,7
1020,부평금호어울림,3118,완속02,7
1021,산곡우성1.2.3차 아파트,3119,급속01,50
1021,산곡우성1.2.3차 아파트,3120,급속02,50
1021,산곡우성1.2.3차 아파트,3121,완속01,7
1021,산곡우성1.2.3차 아파트,3122,완속02,7
1022,삼산서해그랑블 아파트,3123,급속01,50
1022,삼산서해그랑블 아파트,3124,완속01,7
1023,송도글로벌캠퍼스푸르지오 아파트,3125,급속01,50
1023,송도글로벌캠퍼스푸르지오 아파트,3127,완속01,7
1023,송도글로벌캠퍼스푸르지오 아파트,3128,완속02,7
1023,송도글로벌캠퍼스푸르지오 아파트,3129,완속03,7
1023,송도글로벌캠퍼스푸르지오 아파트,3130,완속04,7
1024,송도더샵그린워크1차,3131,급속01,50
1024,송도더샵그린워크1차,3132,완속01,7
1024,송도더샵그린워크1차,3133,완속02,7
1025,송도롯데캐슬 아파트,3134,급속01,50
1025,송도롯데캐슬 아파트,3135,완속01,7
1025,송도롯데캐슬 아파트,3136,완속02,7
1025,송도롯데캐슬 아파트,3137,완속03,7
1026,에코메트로10단지,3138,급속01,50
1026,에코메트로10단지,3139,완속01,7
1027,LH퍼스트리움 아파트,3140,급속01,50
1027,LH퍼스트리움 아파트,3141,완속01,7
1027,LH퍼스트리움 아파트,3142,완속02,7
1027,LH퍼스트리움 아파트,3143,완속03,7
1029,자연앤,3146,완속01,7
1029,자연앤,3147,완속02,7
1030,양촌읍 학운리 자연앤데시앙,3148,급속01,50
1030,양촌읍 학운리 자연앤데시앙,3149,완속01,7
1030,양촌읍 학운리 자연앤데시앙,3150,완속02,7
1032,운양동 반도유보라2차 아파트,3154,급속01,50
1032,운양동 반도유보라2차 아파트,3155,완속01,7
1032,운양동 반도유보라2차 아파트,3156,완속02,7
1033,감정동 푸른마을신안실크밸리1차,3157,급속01,50
1033,감정동 푸른마을신안실크밸리1차,3158,급속02,50
1033,감정동 푸른마을신안실크밸리1차,3159,완속01,7
1033,감정동 푸른마을신안실크밸리1차,3160,완속02,7
1033,감정동 푸른마을신안실크밸리1차,3161,완속03,7
1033,감정동 푸른마을신안실크밸리1차,3162,완속04,7
1033,감정동 푸른마을신안실크밸리1차,3163,완속05,7
1034,그린타운삼성우성 아파트,3164,급속01,50
1035,역곡한국 아파트,3165,완속01,7
1035,역곡한국 아파트,3166,완속02,7
1037,인천 학익풍림아이원 아파트,3171,급속01,50
1037,인천 학익풍림아이원 아파트,3172,완속01,7
1037,인천 학익풍림아이원 아파트,3173,완속02,7
1037,인천 학익풍림아이원 아파트,3174,완속03,7
1038,청라푸르지오 아파트,3175,급속01,50
1038,청라푸르지오 아파트,3176,완속01,7
1038,청라푸르지오 아파트,3177,완속02,7
1038,청라푸르지오 아파트,3178,완속03,7
1039,영종자이 아파트,3179,급속01,50
1039,영종자이 아파트,3180,완속01,7
1039,영종자이 아파트,3181,완속02,7
1039,영종자이 아파트,3182,완속03,7
104,노원도봉지사,11140,급속02,100
104,노원도봉지사,1383,완속04,7
104,노원도봉지사,1384,완속06,7
104,노원도봉지사,322,완속03,7
104,노원도봉지사,323,완속05,7
1040,영종하늘도시우미린1단지,3183,급속01,50
1040,영종하늘도시우미린1단지,3184,완속01,7
1041,영종하늘도시한라비발디 아파트,3185,급속01,50
1041,영종하늘도시한라비발디 아파트,3186,완속01,7
1041,영종하늘도시한라비발디 아파트,3187,완속02,7
1041,영종하늘도시한라비발디 아파트,3188,완속03,7
1041,영종하늘도시한라비발디 아파트,3189,완속04,7
1042,휴먼시아남춘천1단지,3190,급속01,50
1042,휴먼시아남춘천1단지,3191,완속01,7
1042,휴먼시아남춘천1단지,3192,완속02,7
1043,개운휴먼시아1단지 아파트,3193,급속01,50
1043,개운휴먼시아1단지 아파트,3194,완속01,7
1043,개운휴먼시아1단지 아파트,3195,완속02,7
1045,구곡두산 아파트,3200,완속01,7
1045,구곡두산 아파트,3201,완속02,7
1046,대흥2차 아파트,3202,급속01,50
1047,매지청솔 아파트,3203,급속01,50
1047,매지청솔 아파트,3204,완속01,7
1047,매지청솔 아파트,3205,완속02,7
1047,매지청솔 아파트,3206,완속03,7
1049,원흥2차 아파트,3211,완속01,7
1050,교동e-편한세상 아파트,3212,급속01,50
1050,교동e-편한세상 아파트,3213,완속01,7
1050,교동e-편한세상 아파트,3214,완속02,7
1051,동해금호어울림 아파트,3215,완속01,7
1051,동해금호어울림 아파트,3216,완속02,7
1052,동해코아루디오션,3217,급속01,50
1052,동해코아루디오션,3218,완속01,7
1053,개신두진백로1차 아파트,3219,완속01,7
1053,개신두진백로1차 아파트,3220,완속02,7
1054,금호어울림 아파트,3221,급속01,50
1054,금호어울림 아파트,3222,완속01,7
1055,금호어울림2단지,3223,급속01,50
1055,금호어울림2단지,3224,완속01,7
1056,두산위브지웰시티,3225,급속01,50
1056,두산위브지웰시티,3226,급속02,50
1056,두산위브지웰시티,3227,완속01,7
1056,두산위브지웰시티,3228,완속02,7
1056,두산위브지웰시티,3229,완속03,7
1056,두산위브지웰시티,3230,완속04,7
1056,두산위브지웰시티,3231,완속05,7
1057,삼호 아파트,3232,완속01,7
1057,삼호 아파트,3233,완속02,7
1058,남광하우스토리A단지,3234,급속01,50
1058,남광하우스토리A단지,3235,완속01,7
1058,남광하우스토리A단지,3236,완속02,7
1059,남광하우스토리B단지,3237,급속01,50
1059,남광하우스토리B단지,3238,완속01,7
1059,남광하우스토리B단지,3239,완속02,7
106,한국건설기술연구원,119,급속01,50
106,한국건설기술연구원,120,완속01,7
106,한국건설기술연구원,121,완속02,7
106,한국건설기술연구원,133,완속03,7
1060,용암덕일마이빌 아파트,3240,급속01,50
1060,용암덕일마이빌 아파트,3241,완속01,7
1060,용암덕일마이빌 아파트,3242,완속02,7
1060,용암덕일마이빌 아파트,3243,완속03,7
1061,율량대원칸타빌3차,3244,급속01,50
1061,율량대원칸타빌3차,3245,완속01,7
1061,율량대원칸타빌3차,3246,완속02,7
1061,율량대원칸타빌3차,3247,완속03,7
1062,율량선광로즈웰2차 아파트,3248,급속01,50
1062,율량선광로즈웰2차 아파트,3249,완속01,7
1062,율량선광로즈웰2차 아파트,3250,완속02,7
1063,유수장미 아파트,3251,급속01,50
1063,유수장미 아파트,3252,완속01,7
1064,극동 아파트,3253,급속01,50
1064,극동 아파트,3254,완속01,7
1064,극동 아파트,3255,완속02,7
1065,올리브힐,3256,급속01,50
1065,올리브힐,3257,완속01,7
1065,올리브힐,3258,완속02,7
1065,올리브힐,3259,완속03,7
1066,내포롯데캐슬,3260,급속01,50
1066,내포롯데캐슬,3261,완속01,7
1066,내포롯데캐슬,3262,완속02,7
1066,내포롯데캐슬,3263,완속03,7
1067,천안 대주피오레 아파트,3264,완속01,7
1068,두정1차대림e편한세상,3265,급속01,50
1068,두정1차대림e편한세상,3266,완속01,7
1068,두정1차대림e편한세상,3267,완속02,7
1069,불당마을동일하이빌 아파트,3268,급속01,50
1069,불당마을동일하이빌 아파트,3269,완속01,7
1070,해피드림3차,3270,완속01,7
1071,와이시티 아파트,3271,급속01,50
1071,와이시티 아파트,3272,완속01,7
1071,와이시티 아파트,3273,완속02,7
1071,와이시티 아파트,3274,완속03,7
1071,와이시티 아파트,3275,완속04,7
1072,용연마을휴먼시아2단지 아파트,3276,급속01,50
1072,용연마을휴먼시아2단지 아파트,3277,완속01,7
1072,용연마을휴먼시아2단지 아파트,3278,완속02,7
1074,가재마을9단지,3281,급속01,50
1074,가재마을9단지,3282,완속01,7
1074,가재마을9단지,3283,완속02,7
1074,가재마을9단지,3284,완속03,7
1075,범지기마을 9단지,3285,급속01,50
1075,범지기마을 9단지,3286,완속01,7
1075,범지기마을 9단지,3287,완속02,7
1075,범지기마을 9단지,3288,완속03,7
1076,조치원자이 아파트,3289,급속01,50
1076,조치원자이 아파트,3290,완속01,7
1076,조치원자이 아파트,3291,완속02,7
1076,조치원자이 아파트,3292,완속03,7
1076,조치원자이 아파트,3293,완속04,7
1077,SK허브,3294,완속01,7
1077,SK허브,3295,완속02,7
1078,가나파로스빌1차 아파트,3296,완속01,7
1078,가나파로스빌1차 아파트,3297,완속02,7
1079,대덕테크노밸리3단지 아파트,3298,급속01,50
1079,대덕테크노밸리3단지 아파트,3299,완속01,7
1079,대덕테크노밸리3단지 아파트,3300,완속02,7
108,송파구청,125,급속01,50
1081,드리움2단지 아파트,3305,급속01,50
1081,드리움2단지 아파트,3306,완속01,7
1081,드리움2단지 아파트,3307,완속02,7
1081,드리움2단지 아파트,3308,완속03,7
1082,산호한양 아파트,3309,급속01,50
1082,산호한양 아파트,3310,완속01,7
1082,산호한양 아파트,3311,완속02,7
1082,산호한양 아파트,3312,완속03,7
1084,한빛 아파트,3316,급속01,50
1084,한빛 아파트,3317,급속02,50
1085,하가제일오투그란데 아파트,3318,급속01,50
1085,하가제일오투그란데 아파트,3319,완속01,7
1086,호성유원파크맨션 아파트,3320,완속01,7
1086,호성유원파크맨션 아파트,3321,완속02,7
1089,우남그랜드타운,3326,급속01,50
1089,우남그랜드타운,3327,완속01,7
1089,우남그랜드타운,3328,완속02,7
